LAT,LON,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
-36.875,-76.875,0,0.0145982,0.0152016,0.0035,0.0571371,0.15575,0.05375,0.0946774,0.0357083,0.049879,0.033625,0.0025
-36.875,-76.625,0,0.013125,0.0110081,0.00429167,0.0611694,0.138208,0.062379,0.0883871,0.0429167,0.0407258,0.0403333,0.0025
-36.875,-76.375,0,0.0170089,0.00862903,0.0055,0.0567742,0.15,0.0705242,0.0856048,0.04425,0.0323387,0.040625,0.00350806
-36.875,-76.125,0,0.0188393,0.00483871,0.00216667,0.0586694,0.17725,0.0887903,0.0901613,0.0432083,0.0285081,0.041125,0.0025
-36.875,-75.875,0.000846774,0.0171429,0.00133065,0.00254167,0.0928629,0.167458,0.0880242,0.0937903,0.0342083,0.0499597,0.172292,0.00306452
-36.875,-75.625,0.00016129,0.01,0.00487903,0.00729167,0.0717742,0.18975,0.0862097,0.0891129,0.041875,0.0474597,0.203292,0.00205645
-36.875,-75.375,0.000846774,0.0136607,0.00245968,0.00745833,0.0680242,0.191625,0.139153,0.0812903,0.0304167,0.0369758,0.212125,0.000725806
-36.875,-75.125,0.0016129,0.0278571,0.00225806,0.00329167,0.0538306,0.176292,0.185847,0.0988306,0.0159167,0.0473387,0.194375,0.000201613
-36.875,-74.875,0.000927419,0.0285268,0.00306452,0.00220833,0.0668548,0.182083,0.136371,0.1075,0.018125,0.0390323,0.152875,0.00189516
-36.875,-74.625,0.000241935,0.0260268,0.00544355,0.00316667,0.0991129,0.165458,0.106048,0.0973387,0.0319583,0.0344355,0.163292,0.00495968
-36.875,-74.375,0.000483871,0.0245089,0.00221774,0.003375,0.0943145,0.174708,0.0916532,0.108589,0.0489167,0.0358871,0.106583,0.00375
-36.875,-74.125,0.00217742,0.0165179,0.00294355,0.00154167,0.0810887,0.165042,0.0739516,0.124395,0.05225,0.0527419,0.130667,0.00483871
-36.875,-73.875,0.00658589,0.0185617,0.00918325,0.0107903,0.133025,0.233127,0.119048,0.203689,0.0565524,0.0907635,0.0856607,0.0108384
-36.875,-73.625,0.00622697,0.016308,0.00819769,0.0105242,0.127061,0.223463,0.117833,0.171258,0.0488329,0.0491987,0.0648484,0.00875455
-36.875,-73.375,0.00509683,0.0162965,0.0113477,0.0320795,0.148766,0.274797,0.174348,0.223514,0.0495465,0.0736806,0.0438052,0.00790548
-36.875,-73.125,0.00434131,0.0127975,0.00945208,0.0304873,0.148166,0.270488,0.157001,0.221953,0.0463235,0.0717884,0.0424136,0.00808756
-36.875,-72.875,0.00100153,0.0251637,0.00684521,0.0276534,0.161946,0.337655,0.144348,0.240419,0.0650367,0.074222,0.0469113,0.000408147
-36.875,-72.625,0.000574508,0.0292724,0.00317668,0.026552,0.163654,0.328275,0.144593,0.240995,0.083355,0.0775718,0.0536824,0.00194329
-36.875,-72.375,0.00045303,0.0232271,0.0170941,0.0265558,0.186694,0.377247,0.135597,0.235401,0.064794,0.0887115,0.0551071,0.0106214
-36.875,-72.125,0.000379434,0.0145533,0.0245078,0.0284226,0.200892,0.387591,0.128926,0.269662,0.0644728,0.0980741,0.0559741,0.0114621
-36.875,-71.875,8.50E-05,0.00592851,0.0230495,0.0393392,0.261356,0.386217,0.151537,0.315607,0.0697738,0.13076,0.0765597,0.0109366
-36.875,-71.625,0.000524062,0.0049786,0.0266356,0.0452599,0.313034,0.406157,0.177607,0.321686,0.0810419,0.131548,0.0941221,0.0374645
-36.875,-71.375,0.00237206,0.00430054,0.0204349,0.049992,0.366525,0.393605,0.156068,0.301194,0.140333,0.217113,0.315179,0.600163
-36.875,-71.125,0.00840051,0.00296745,0.00623201,0.0361703,0.283635,0.255334,0.135956,0.214852,0.114868,0.118057,0.102616,0.0454451
-36.875,-70.875,0.00742831,0.000833986,0.00304035,0.0322588,0.223334,0.183986,0.0953263,0.146073,0.0642543,0.0636791,0.0480013,0.0047428
-36.875,-70.625,0.00333553,0.0020752,0.00411052,0.0346921,0.199874,0.183023,0.0801607,0.122383,0.076924,0.0802133,0.0811399,0.00816118
-36.875,-70.375,0.00505728,0.00150051,0.00331114,0.0287575,0.167958,0.17546,0.0615836,0.135511,0.126602,0.0594669,0.0488004,0.00473783
-36.875,-70.125,0.0183118,0.00120302,0.00123687,0.021008,0.120414,0.155546,0.0537589,0.145023,0.076493,0.0355239,0.0360741,0.00918607
-36.875,-69.875,0.0105845,0.0056893,0.000870032,0.012659,0.0750029,0.0817389,0.0316502,0.0828716,0.0298838,0.00831044,0.00410685,0.0257004
-36.875,-69.625,0.0101281,0.00557627,2.95E-05,0.0108694,0.0662756,0.0508853,0.0353419,0.0829295,0.034687,0.00471012,0.00751802,0.0263177
-36.875,-69.375,0.0232845,0.00445064,0,0.0089312,0.0613743,0.0390651,0.0260076,0.0594979,0.0301927,0.0022213,0.00061905,0.0249472
-36.875,-69.125,0.0290352,0.0108198,0.000182081,0.00691144,0.0670409,0.0381751,0.0242414,0.0381261,0.0208487,0.000780726,0.000562356,0.0214383
-36.875,-68.875,0.0224291,0.0142138,0.00978524,0.0048931,0.0614934,0.0347024,0.0246214,0.0319504,0.0215883,0,0.000704483,0.0208683
-36.875,-68.625,0.0203449,0.0147556,0.0078369,0.00323691,0.0533101,0.0276632,0.0202829,0.0369688,0.0251563,0.000155324,0.000722681,0.0309358
-36.875,-68.375,0.0145616,0.0256898,0.0107567,0.00182629,0.0465712,0.0241328,0.0166713,0.0240459,0.0253331,3.46E-05,0.00105787,0.0442227
-36.875,-68.125,0.0181291,0.0420395,0.0119775,0.00135456,0.0442929,0.0203624,0.0146623,0.0336046,0.0212329,0.00003031,0.00178842,0.0395262
-36.875,-67.875,0.0251113,0.0271397,0.0187491,0.00132456,0.0390686,0.0211153,0.0120264,0.0216306,0.00842576,0.0408275,0.00499904,0.0334671
-36.875,-67.625,0.0381551,0.0547706,0.0127254,0.00271046,0.05697,0.0182903,0.00915713,0.0114451,0.0191301,0.00167016,0.0368115,0.0412921
-36.875,-67.375,0.02776,0.0613432,0.0145248,0.00157346,0.045599,0.0176333,0.00856996,0.0127644,0.0160454,0.00656845,0.0265027,0.0419395
-36.875,-67.125,0.00636391,0.0707545,0.00784253,0.00126876,0.0359249,0.010157,0.0085333,0.0166678,0.0643385,0.00636053,0.0164548,0.0664822
-36.875,-66.875,0.00587153,0.0425161,0.0163458,0.000170782,0.0345426,0.0064409,0.014485,0.00907698,0.088425,0.00727905,0.0191801,0.0723554
-36.875,-66.625,0.005076,0.0671028,0.0489142,0.0012001,0.0296847,0.00384257,0.0189422,0.00949461,0.0962066,0.0053825,0.0299333,0.104933
-36.875,-66.375,0.0085014,0.0422175,0.0560336,0.00141272,0.0253018,0.00152708,0.00869126,0.0128757,0.109787,0.00354507,0.0527785,0.105786
-36.875,-66.125,0.00813417,0.0598397,0.0983544,0.00334762,0.0129996,9.98E-05,0.00689621,0.0109687,0.106242,0.00728046,0.0626704,0.100971
-36.875,-65.875,0.00648079,0.0340431,0.105244,0.0045127,0.0229302,0.000411428,0.00450946,0.00370889,0.0765317,0.0167732,0.100222,0.1205
-36.875,-65.625,0.00483005,0.0414352,0.0719813,0.00730405,0.0230461,0.000722255,0.00409807,0.00273649,0.0746164,0.0171642,0.065745,0.139018
-36.875,-65.375,0.00210145,0.0344453,0.0626515,0.0157875,0.019859,0.00101418,0.000684069,0.00199589,0.0763122,0.0160677,0.0491105,0.146674
-36.875,-65.125,0.00317835,0.0576808,0.0660887,0.00218353,0.0300124,0.00106284,0.000538988,0.00105945,0.0681306,0.0266427,0.0981042,0.121709
-36.875,-64.875,0.000895172,0.0569862,0.0909424,0.00205209,0.0244328,0.000364441,0.00470108,0.000650138,0.0672321,0.0301175,0.131264,0.0977516
-36.875,-64.625,0.00162439,0.0441273,0.0750213,0.0091585,0.0222398,0.000413822,0.00524915,0.00118285,0.0649119,0.0294358,0.150961,0.0911976
-36.875,-64.375,0.000843353,0.0553132,0.109497,0.0147344,0.0245284,0.000508146,0.00439405,0.00130559,0.062728,0.0250809,0.151674,0.0987273
-36.875,-64.125,0.00123062,0.0809572,0.164277,0.0120616,0.0253446,0.000551405,0.00600148,0.000946947,0.068295,0.0299078,0.152098,0.116854
-36.875,-63.875,0.00804174,0.101675,0.159138,0.0115928,0.0551688,0.000862557,0.016883,0.00121734,0.109373,0.0357447,0.117175,0.149196
-36.875,-63.625,0.0102466,0.0894738,0.163404,0.00975069,0.0683353,0.000855836,0.0135001,0.00143648,0.0909977,0.0365541,0.10698,0.179247
-36.875,-63.375,0.0193072,0.0928861,0.124017,0.0185187,0.0650131,0.000811054,0.0192287,0.00143923,0.10254,0.0327421,0.118132,0.169235
-36.875,-63.125,0.0352111,0.0913364,0.158904,0.0168687,0.056839,0.000883275,0.0144024,0.00122571,0.105456,0.0274529,0.145054,0.144372
-36.875,-62.875,0.0476141,0.0964954,0.130145,0.0279973,0.0361282,0,0.029227,0.000127437,0.177831,0.0224749,0.161857,0.166227
-36.875,-62.625,0.0463884,0.0813925,0.144687,0.0260148,0.0368154,3.87E-05,0.0507768,0.00012845,0.147268,0.0223667,0.154969,0.158262
-36.875,-62.375,0.0115701,0.0947734,0.140402,0.0268827,0.0335279,0,0.0842029,0.000977753,0.152432,0.0229438,0.151444,0.170521
-36.875,-62.125,0.0427983,0.100538,0.138959,0.0310186,0.0745614,0,0.0698456,0.00138769,0.165172,0.0240413,0.173742,0.2021
-36.875,-61.875,0.02582,0.096094,0.106688,0.0346174,0.0627262,0.00137595,0.0510788,0.00175741,0.214057,0.0327293,0.222275,0.215609
-36.875,-61.625,0.0204302,0.0977667,0.109519,0.0371319,0.0639834,0.00492756,0.0694835,0.00166179,0.204263,0.0415336,0.302926,0.238514
-36.875,-61.375,0.0219771,0.0820773,0.127004,0.0422644,0.0669718,0.00996052,0.0735059,0.00535606,0.1973,0.0383821,0.293782,0.225433
-36.875,-61.125,0.0457888,0.0591041,0.134463,0.0397291,0.0679862,0.0070443,0.0831632,0.00400884,0.197374,0.0287557,0.209503,0.204934
-36.875,-60.875,0.0745216,0.0580507,0.104376,0.0451826,0.0836958,0.025256,0.0734549,0.0045156,0.197856,0.0388764,0.180774,0.214986
