LAT,LON,JAN,FEV,MR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
-36.875,-76.875,0.00830645,0.039375,0.00189516,0.000166667,0.0400806,0.09,0.0608064,0.120282,0.025,0.0135484,0.0132083,0.00673387
-36.875,-76.625,0.01,0.0391518,0.00322581,0.000166667,0.0391935,0.08775,0.0552823,0.141895,0.014875,0.018629,0.0180833,0.00407258
-36.875,-76.375,0.0143548,0.0198661,0.00362903,0.00125,0.0379435,0.0926667,0.056371,0.139637,0.0085,0.0174597,0.0274167,0.00245968
-36.875,-76.125,0.0183065,0.0245536,0.00564516,0.000291667,0.0340726,0.0849583,0.0513306,0.129153,0.00604167,0.00943548,0.0284167,0.00362903
-36.875,-75.875,0.0285887,0.0429911,0.00491935,4.17E-05,0.0224597,0.0663333,0.0383065,0.140645,0.009375,0.0121371,0.0834583,0.00370968
-36.875,-75.625,0.0140726,0.0479911,0.00520161,0.000125,0.0232661,0.0829583,0.0471774,0.147782,0.00608333,0.0106855,0.0671667,0.00270161
-36.875,-75.375,0.022379,0.0469643,0.00375,8.33E-05,0.0200403,0.122208,0.0577823,0.151815,0.00491667,0.00866935,0.054625,0.00318548
-36.875,-75.125,0.0243952,0.0483482,0.00254032,0.00025,0.0168548,0.108542,0.0425403,0.168306,0.004,0.014879,0.0523333,0.00294355
-36.875,-74.875,0.0315726,0.0726786,0.00479839,0.000458333,0.00967742,0.104667,0.0218952,0.121895,0.00758333,0.0160887,0.034,0.00891129
-36.875,-74.625,0.0314919,0.0380804,0.00495968,0.000708333,0.0101613,0.079375,0.0302016,0.13375,0.00604167,0.00858871,0.0402083,0.0100403
-36.875,-74.375,0.00435484,0.0286161,0.00576613,0.000333333,0.0124597,0.101292,0.0499597,0.0952419,0.005875,0.0058871,0.0585,0.00774194
-36.875,-74.125,0.00266129,0.0219643,0.00568548,0.000333333,0.0298387,0.0755,0.0416129,0.100565,0.0055,0.00665323,0.0585417,0.00455645
-36.875,-73.875,0.0138989,0.0329224,0.00582142,0.00274461,0.0470303,0.206618,0.238747,0.131794,0.0220092,0.0433999,0.0569602,0.0195887
-36.875,-73.625,0.0126944,0.0333072,0.0054882,0.0035439,0.0383982,0.200534,0.240795,0.112374,0.0242355,0.0382142,0.0507957,0.0176897
-36.875,-73.375,0.0121267,0.0879083,0.00741554,0.00947689,0.0379497,0.240056,0.274563,0.152316,0.0293016,0.0465469,0.0363612,0.0280606
-36.875,-73.125,0.0124597,0.0774362,0.00642865,0.00919054,0.0349337,0.244099,0.239615,0.156614,0.0276185,0.0416614,0.0255096,0.0236886
-36.875,-72.875,0.0089224,0.0688621,0.00346221,0.0111958,0.0361258,0.249567,0.221551,0.148223,0.0290955,0.0387396,0.0186145,0.0213376
-36.875,-72.625,0.0190212,0.0723082,0.00210957,0.0211915,0.0355449,0.25136,0.213945,0.139342,0.0578527,0.0339472,0.0268965,0.0257834
-36.875,-72.375,0.0402379,0.0932894,0.00200942,0.0140146,0.0395134,0.23385,0.204401,0.134295,0.0564403,0.0356352,0.0338605,0.0145517
-36.875,-72.125,0.0311991,0.105539,0.0025551,0.0268343,0.0596345,0.256318,0.200467,0.14679,0.0446714,0.0547371,0.0269494,0.0165961
-36.875,-71.875,0.00371316,0.105753,0.00707509,0.0371261,0.120626,0.300441,0.248933,0.204551,0.042256,0.0912051,0.0294415,0.0122039
