%LAT	LON	JAN	FEV	MAR	ABR	MAI	JUN	JUL	AGO	SET	OUT	NOV	DEZ
-25.125	-48.125	0.28937	0.40742	0.24942	0.11076	0.09929	0.3822	0.12747	0.04486	0.18615	0.11172	0.20234	0.15801
-24.875	-48.375	0.21429	0.36525	0.26582	0.06646	0.10414	0.3568	0.12597	0.04102	0.17782	0.10862	0.15981	0.16598
-24.875	-48.125	0.2996	0.35626	0.28982	0.07444	0.08705	0.31938	0.13521	0.03247	0.16822	0.11717	0.17801	0.13262
-24.875	-47.875	0.26385	0.33654	0.26641	0.10183	0.07746	0.29881	0.13096	0.03615	0.16643	0.12196	0.17211	0.11779
-24.625	-49.125	0.13983	0.37526	0.23782	0.08069	0.11843	0.3565	0.14105	0.02234	0.17233	0.1115	0.14909	0.10588
-24.625	-48.875	0.13686	0.32671	0.23844	0.10155	0.13165	0.36228	0.13581	0.02778	0.16851	0.12538	0.18012	0.14407
-24.625	-48.625	0.16056	0.31548	0.26908	0.09947	0.11948	0.3019	0.13741	0.02804	0.16614	0.12624	0.16384	0.13986
-24.625	-48.375	0.22249	0.31719	0.27466	0.08782	0.10733	0.27878	0.13298	0.02674	0.156	0.10037	0.15355	0.13347
-24.625	-48.125	0.29926	0.37608	0.27507	0.0776	0.09701	0.26758	0.11267	0.02505	0.15536	0.10605	0.16043	0.09676
-24.625	-47.875	0.25204	0.33229	0.29424	0.09443	0.09197	0.24503	0.11754	0.03094	0.15162	0.12369	0.14598	0.10108
-24.625	-47.625	0.26584	0.35916	0.2675	0.11068	0.07603	0.26052	0.12426	0.03514	0.15516	0.11349	0.14504	0.09457
-24.625	-47.375	0.2654	0.40358	0.23721	0.14433	0.0793	0.23969	0.11728	0.03568	0.16326	0.12391	0.14373	0.09121
-24.375	-49.125	0.16522	0.36963	0.19919	0.10673	0.12757	0.31389	0.17344	0.01771	0.17207	0.14477	0.10943	0.09159
-24.375	-48.875	0.15714	0.3482	0.21864	0.11577	0.13673	0.27458	0.1236	0.02146	0.16376	0.1357	0.12172	0.09879
-24.375	-48.625	0.17255	0.2955	0.19547	0.13101	0.12772	0.28195	0.13092	0.0227	0.16082	0.12563	0.12659	0.1028
-24.375	-48.375	0.25212	0.33281	0.21354	0.1094	0.13177	0.2712	0.13276	0.02172	0.15392	0.1243	0.14958	0.11401
-24.375	-48.125	0.30561	0.39115	0.30967	0.12547	0.12171	0.22468	0.12679	0.02287	0.15038	0.12846	0.15303	0.12473
-24.375	-47.875	0.27485	0.38478	0.32588	0.10888	0.10769	0.21026	0.13057	0.02916	0.15349	0.13154	0.14443	0.106
-24.375	-47.625	0.29071	0.4432	0.28167	0.13058	0.07049	0.22713	0.11134	0.03048	0.15545	0.11741	0.15279	0.08774
-24.375	-47.375	0.292	0.46703	0.24429	0.18332	0.06766	0.21488	0.12856	0.03167	0.14838	0.12059	0.14378	0.08708
-24.375	-47.125	0.30551	0.42201	0.23863	0.19475	0.07325	0.21421	0.12589	0.03451	0.13522	0.13016	0.15423	0.08421
-24.125	-49.125	0.16631	0.36289	0.16772	0.12918	0.10504	0.29517	0.15936	0.01387	0.15893	0.15005	0.10727	0.09124
-24.125	-48.875	0.1959	0.33846	0.16696	0.15531	0.1035	0.24871	0.11142	0.01591	0.15392	0.13556	0.12939	0.09669
-24.125	-48.625	0.21502	0.32232	0.1751	0.16963	0.12936	0.23849	0.15082	0.02022	0.15297	0.12593	0.13282	0.0992
-24.125	-48.375	0.23697	0.3235	0.20953	0.15361	0.16905	0.23129	0.15958	0.01757	0.15522	0.13191	0.14319	0.09376
-24.125	-48.125	0.28872	0.34868	0.23192	0.16113	0.11736	0.21866	0.15039	0.01972	0.15045	0.12745	0.16509	0.10145
-24.125	-47.875	0.24143	0.39575	0.27348	0.14194	0.09795	0.21452	0.13844	0.02626	0.16397	0.12737	0.1678	0.10977
-24.125	-47.625	0.2662	0.51108	0.26329	0.1592	0.07973	0.20283	0.12096	0.02727	0.1724	0.12762	0.16922	0.10422
-24.125	-47.375	0.25176	0.46303	0.23743	0.1489	0.06707	0.20031	0.11179	0.02932	0.14692	0.13174	0.15511	0.10683
-24.125	-47.125	0.25163	0.41442	0.23984	0.16445	0.07207	0.19596	0.09803	0.03191	0.12601	0.12243	0.16119	0.10777
-24.125	-46.875	0.283	0.43317	0.22057	0.18411	0.07489	0.18681	0.08385	0.04203	0.11322	0.14428	0.13981	0.08982
-23.875	-49.375	0.12541	0.3566	0.11564	0.21403	0.10923	0.30519	0.18736	0.01263	0.13637	0.17745	0.12675	0.11398
-23.875	-49.125	0.16386	0.33021	0.10125	0.21483	0.11077	0.24323	0.10605	0.01264	0.14141	0.1687	0.13121	0.10104
-23.875	-48.875	0.20291	0.31859	0.11095	0.24576	0.11808	0.21672	0.11019	0.01358	0.14088	0.15126	0.1553	0.09965
-23.875	-48.625	0.18477	0.29704	0.16167	0.24662	0.13352	0.19024	0.15985	0.01463	0.15032	0.15716	0.15438	0.1092
-23.875	-48.375	0.20068	0.27969	0.16751	0.2233	0.16903	0.20306	0.21188	0.01775	0.15596	0.14005	0.16145	0.11685
-23.875	-48.125	0.19086	0.26448	0.17954	0.26406	0.14669	0.21045	0.20657	0.01757	0.16036	0.13541	0.18534	0.11634
-23.875	-47.875	0.20853	0.37951	0.21623	0.13423	0.0999	0.22557	0.14586	0.02054	0.16063	0.12399	0.17177	0.11414
-23.875	-47.625	0.24192	0.41227	0.22465	0.13095	0.08292	0.22659	0.14613	0.02205	0.15189	0.11326	0.17043	0.11501
-23.875	-47.375	0.21174	0.41543	0.21069	0.13592	0.07684	0.23358	0.1405	0.02382	0.13253	0.11626	0.16487	0.11843
-23.875	-47.125	0.21745	0.42993	0.23671	0.16076	0.06957	0.20251	0.13225	0.02654	0.10584	0.12204	0.16067	0.11718
-23.875	-46.875	0.22912	0.47549	0.24699	0.17337	0.07198	0.18979	0.13035	0.03751	0.11475	0.1494	0.15951	0.11254
-23.875	-46.625	0.24162	0.4938	0.24205	0.18397	0.09458	0.20191	0.14381	0.05693	0.12487	0.15414	0.15395	0.11352
-23.875	-46.375	0.25779	0.49741	0.22789	0.1753	0.08339	0.18857	0.12946	0.04046	0.11243	0.1604	0.15653	0.11368
-23.875	-45.375	0.29357	0.36053	0.21739	0.14041	0.1023	0.11943	0.09078	0.01853	0.07496	0.12904	0.18104	0.13056
-23.625	-49.375	0.17644	0.47812	0.17822	0.2743	0.1258	0.28388	0.1569	0.00953	0.13152	0.17382	0.14036	0.12485
-23.625	-49.125	0.21244	0.41978	0.1438	0.27398	0.12638	0.23628	0.08669	0.01314	0.15404	0.18284	0.14267	0.13431
-23.625	-48.875	0.20578	0.36886	0.12463	0.27926	0.14672	0.23004	0.10758	0.01171	0.15232	0.15836	0.16159	0.10972
-23.625	-48.625	0.20763	0.32964	0.16627	0.24661	0.15596	0.20408	0.10609	0.01458	0.16139	0.15456	0.17412	0.12706
-23.625	-48.375	0.18152	0.34745	0.22593	0.20581	0.12881	0.19013	0.10627	0.01473	0.15983	0.13527	0.18275	0.13571
-23.625	-48.125	0.18955	0.33807	0.25138	0.17851	0.15553	0.18956	0.11049	0.01641	0.1587	0.12353	0.18636	0.14007
-23.625	-47.875	0.21737	0.32545	0.24078	0.13583	0.12336	0.22306	0.12605	0.01825	0.13025	0.11867	0.19397	0.128
-23.625	-47.625	0.27012	0.37821	0.24497	0.11779	0.09207	0.24098	0.10461	0.02005	0.11734	0.11118	0.1819	0.14456
-23.625	-47.375	0.24367	0.40266	0.22294	0.10917	0.08096	0.24398	0.12301	0.02151	0.10587	0.12105	0.17371	0.15378
-23.625	-47.125	0.25395	0.42896	0.22406	0.12428	0.07674	0.20203	0.13112	0.02349	0.1046	0.12491	0.16727	0.13964
-23.625	-46.875	0.28671	0.45912	0.28405	0.15255	0.0785	0.20868	0.10907	0.03238	0.1152	0.15743	0.16584	0.13129
-23.625	-46.625	0.25026	0.46193	0.26355	0.15462	0.0885	0.20074	0.12885	0.0519	0.10538	0.16404	0.15993	0.12791
-23.625	-46.375	0.35765	0.54049	0.23546	0.16412	0.08759	0.18572	0.09774	0.03333	0.10449	0.17146	0.16833	0.12991
-23.625	-46.125	0.32963	0.47131	0.2244	0.16943	0.0817	0.14328	0.1144	0.03034	0.09637	0.15473	0.17681	0.12994
-23.625	-45.875	0.32591	0.50871	0.24374	0.15356	0.09563	0.13523	0.10479	0.02348	0.07079	0.13145	0.16345	0.12462
-23.625	-45.625	0.35363	0.44705	0.22711	0.15627	0.08939	0.13443	0.0835	0.0197	0.06547	0.13277	0.16022	0.14456
-23.625	-45.375	0.31139	0.35385	0.21688	0.13583	0.10294	0.11528	0.08237	0.01831	0.06594	0.1339	0.17851	0.13798
-23.375	-49.375	0.17952	0.40322	0.17105	0.2894	0.11951	0.24322	0.06729	0.00539	0.1342	0.19609	0.16484	0.152
-23.375	-49.125	0.19012	0.4108	0.19495	0.30774	0.11968	0.19488	0.06466	0.00587	0.13972	0.20078	0.16409	0.12502
-23.375	-48.875	0.20014	0.36925	0.18403	0.23235	0.15648	0.20414	0.07673	0.01063	0.15253	0.16695	0.1812	0.13776
-23.375	-48.625	0.21098	0.32585	0.21901	0.20416	0.16204	0.22266	0.08289	0.0152	0.17382	0.15396	0.1797	0.12275
-23.375	-48.375	0.22524	0.29023	0.24233	0.16667	0.13351	0.24317	0.07613	0.01582	0.1573	0.14271	0.17645	0.12182
